#This table is copied directly out of #3GPP TS 29.244 / Version 17.7.1 / Table 8.1.2-1: Information Element Types
0 Reserved
1 Create PDR Extendable / Table 7.5.2.2-1 Not Applicable
2 PDI Extendable / Table 7.5.2.2-2 Not Applicable
3 Create FAR Extendable / Table 7.5.2.3-1 Not Applicable
4 Forwarding Parameters Extendable / Table 7.5.2.3-2 Not Applicable
5 Duplicating Parameters Extendable / Table 7.5.2.3-3 Not Applicable
6 Create URR Extendable / Table 7.5.2.4-1 Not Applicable
7 Create QER Extendable / Table 7.5.2.5-1 Not Applicable
8 Created PDR Extendable / Table 7.5.3.2-1 Not Applicable
9 Update PDR Extendable / Table 7.5.4.2-1 Not Applicable
10 Update FAR Extendable / Table 7.5.4.3-1 Not Applicable
11 Update Forwarding Parameters Extendable / Table 7.5.4.3-2 Not Applicable
12 Update BAR (PFCP Session Report Response) Extendable / Table 7.5.9.2-1 Not Applicable
13 Update URR Extendable / Table 7.5.4.4 Not Applicable
14 Update QER Extendable / Table 7.5.4.5 Not Applicable
15 Remove PDR Extendable / Table 7.5.4.6 Not Applicable
16 Remove FAR Extendable / Table 7.5.4.7 Not Applicable
17 Remove URR Extendable / Table 7.5.4.8 Not Applicable
18 Remove QER Extendable / Table 7.5.4.9 Not Applicable
19 Cause Fixed / Clause 8.2.1 1
20 Source Interface Extendable / Clause 8.2.2 1
21 F-TEID Extendable / Clause 8.2.3 1
22 Network Instance Variable Length / Clause 8.2.4 Not Applicable
23 SDF Filter Extendable / Clause 8.2.5 2
24 Application ID Variable Length / Clause 8.2.6 Not Applicable
25 Gate Status Extendable / Clause 8.2.7 1
26 MBR Extendable / Clause 8.2.8 10
27 GBR Extendable / Clause 8.2.9 10
28 QER Correlation ID Extendable / Clause 8.2.10 4
29 Precedence Extendable / Clause 8.2.11 4
30 Transport Level Marking Extendable / Clause 8.2.12 2
31 Volume Threshold Extendable /Clause 8.2.13 1
32 Time Threshold Extendable /Clause 8.2.14 4
33 Monitoring Time Extendable /Clause 8.2.15 4
34 Subsequent Volume Threshold Extendable /Clause 8.2.16 1
35 Subsequent Time Threshold Extendable /Clause 8.2.17 4
36 Inactivity Detection Time Extendable /Clause 8.2.18 4
37 Reporting Triggers Extendable /Clause 8.2.19 2
38 Redirect Information Extendable /Clause 8.2.20 3
39 Report Type Extendable / Clause 8.2.21 1
40 Offending IE Fixed / Clause 8.2.22 2
41 Forwarding Policy Extendable / Clause 8.2.23 1
42 Destination Interface Extendable / Clause 8.2.24 1
43 UP Function Features Extendable / Clause 8.2.25 1
44 Apply Action Extendable / Clause 8.2.26 1
45 Downlink Data Service Information Extendable / Clause 8.2.27 1
46 Downlink Data Notification Delay Extendable / Clause 8.2.28 1
47 DL Buffering Duration Extendable / Clause 8.2.29 1
48 DL Buffering Suggested Packet Count Variable / Clause 8.2.30 Not Applicable
49 PFCPSMReq-Flags Extendable / Clause 8.2.31 1
50 PFCPSRRsp-Flags Extendable / Clause 8.2.32 1
51 Load Control Information Extendable / Table 7.5.3.3-1 Not Applicable
52 Sequence Number Fixed Length / Clause 8.2.33 4
53 Metric Fixed Length / Clause 8.2.34 1
54 Overload Control Information Extendable / Table 7.5.3.4-1 Not Applicable
55 Timer Extendable / Clause 8.2 35 1
56 PDR ID Extendable / Clause 8.2 36 2
57 F-SEID Extendable / Clause 8.2 37 9
58 Application ID's PFDs Extendable / Table 7.4.3.1-2 Not Applicable
59 PFD context Extendable / Table 7.4.3.1-3 Not Applicable
60 Node ID Extendable / Clause 8.2.38 1
61 PFD contents Extendable / Clause 8.2.39 2
62 Measurement Method Extendable / Clause 8.2.40 1
63 Usage Report Trigger Extendable / Clause 8.2.41 2
64 Measurement Period Extendable / Clause 8.2.42 4
65 FQ-CSID Extendable / Clause 8.2.43 1
66 Volume Measurement Extendable / Clause 8.2.44 1
67 Duration Measurement Extendable / Clause 8.2.45 4
68 Application Detection Information Extendable / Table 7.5.8.3-2 Not Applicable
69 Time of First Packet Extendable / Clause 8.2.46 4
70 Time of Last Packet Extendable / Clause 8.2.47 4
71 Quota Holding Time Extendable / Clause 8.2.48 4
72 Dropped DL Traffic Threshold Extendable / Clause 8.2.49 1
73 Volume Quota Extendable / Clause 8.2.50 1
74 Time Quota Extendable / Clause 8.2.51 4
75 Start Time Extendable / Clause 8.2.52 4
76 End Time Extendable / Clause 8.2.53 4
77 Query URR Extendable / Table 7.5.4.10-1 Not Applicable
78 Usage Report (Session Modification Response) Extendable / Table 7.5.5.2-1 Not Applicable
79 Usage Report (Session Deletion Response) Extendable / Table 7.5.7.2-1 Not Applicable
80 Usage Report (Session Report Request) Extendable / Table 7.5.8.3-1 Not Applicable
81 URR ID Extendable / Clause 8.2.54 4
82 Linked URR ID Extendable / Clause 8.2.55 4
83 Downlink Data Report Extendable / Table 7.5.8.2-1 Not Applicable
84 Outer Header Creation Extendable / Clause 8.2.56 2
85 Create BAR Extendable / Table 7.5.2.6-1 Not Applicable
86 Update BAR (Session Modification Request)Extendable / Table 7.5.4.11-1 Not Applicable
87 Remove BAR Extendable / Table 7.5.4.12-1 Not Applicable
88 BAR ID Extendable / Clause 8.2.57 1
89 CP Function Features Extendable / Clause 8.2.58 1
90 Usage Information Extendable / Clause 8.2.59 1
91 Application Instance ID Variable Length / Clause 8.2.60 Not Applicable
92 Flow Information Extendable / Clause 8.2.61 3
93 UE IP Address Extendable / Clause 8.2.62 1
94 Packet Rate Extendable / Clause 8.2.63 1
95 Outer Header Removal Extendable / Clause 8.2.64 1
96 Recovery Time Stamp Extendable / Clause 8.2.65 4
97 DL Flow Level Marking Extendable / Clause 8.2.66 1
98 Header Enrichment Extendable / Clause 8.2.67 1
99 Error Indication Report Extendable / Table 7.5.8.4-1 Not Applicable
100 Measurement Information Extendable / Clause 8.2.68 1
101 Node Report Type Extendable / Clause 8.2.69 1
102 User Plane Path Failure Report Extendable / Table 7.4.5.1.2-1 Not Applicable
103 Remote GTP-U Peer Extendable / Clause 8.2.70 1
104 UR-SEQN Fixed Length / Clause 8.2.71 4
105 Update Duplicating Parameters Extendable / Table 7.5.4.3-3 Not Applicable
106 Activate Predefined Rules Variable Length / Clause 8.2.72 Not Applicable
107 Deactivate Predefined Rules Variable Length / Clause 8.2.73 Not Applicable
108 FAR ID Extendable / Clause 8.2.74 4
109 QER ID Extendable / Clause 8.2.75 4
110 OCI Flags Extendable / Clause 8.2.76 1
111 PFCP Association Release Request Extendable / Clause 8.2.77 1
112 Graceful Release Period Extendable / Clause 8.2.78 1
113 PDN Type Extendable / Clause 8.2.79 1
114 Failed Rule ID Extendable / Clause 8.2.80 1
115 Time Quota Mechanism Extendable / Clause 8.2.81 1
116 Reserved
117 User Plane Inactivity Timer Extendable /Clause 8.2.83 4
118 Aggregated URRs Extendable / Table 7.5.2.4-2 Not Applicable
119 Multiplier Fixed / Clause 8.2.84 12
120 Aggregated URR ID Fixed / Clause 8.2.85 4
121 Subsequent Volume Quota Extendable / Clause 8.2.86 1
122 Subsequent Time Quota Extendable / Clause 8.2.87 4
123 RQI Extendable / Clause 8.2.88 1
124 QFI Extendable / Clause 8.2.89 1
125 Query URR Reference Extendable / Clause 8.2.90 4
126 Additional Usage Reports Information Extendable / Clause 8.2.91 2
